"Kingdom","Phylum","Class","Order","Family","Genus","Species"
"k__Bacillati","p__Vulcanimicrobiota","c__Vulcanimicrobiia","o__Vulcanimicrobiales","f__Vulcanimicrobiaceae","g__Vulcanimicrobium","s__Vulcanimicrobium_alpinum"
"k__Bacillati","p__Armatimonadota","c__Chthonomonadia","o__Chthonomonadales","f__Chthonomonadaceae","g__Chthonomonas","s__Chthonomonas_calidirosea"
"k__Bacillati","p__Armatimonadota","c__Fimbriimonadia","o__Fimbriimonadales","f__Fimbriimonadaceae","g__Fimbriimonas","s__Fimbriimonas_ginsengisoli"
"k__Bacillati","p__Armatimonadota","c__Armatimonadia","o__Capsulimonadales","f__Capsulimonadaceae","g__Capsulimonas","s__Capsulimonas_corticalis"
"k__Bacillati","p__Mycoplasmatota","c__Candidatus_Izimaplasma","o__Candidatus_Izemoplasmatales","f__Hujiaoplasmataceae","g__Hujiaoplasma","s__Hujiaoplasma_nucleasis"
"k__Bacillati","p__Mycoplasmatota","c__Candidatus_Izimaplasma","o__Candidatus_Izemoplasmatales","f__Candidatus_Izemoplasmataceae","g__Candidatus_Xianfuyuplasma","s__Candidatus_Xianfuyuplasma_coldseepsis"
"k__Bacillati","p__Mycoplasmatota","c__Candidatus_Izimaplasma","o__Candidatus_Izemoplasmatales","f__Candidatus_Izemoplasmataceae","g__Candidatus_Izemoplasma","s__Candidatus_Izemoplasma_sp._B36"
"k__Bacillati","p__Mycoplasmatota","Unassigned","o__Mycoplasmoidales","f__Mycoplasmoidaceae","g__Mycoplasmoides","s__Mycoplasmoides_fastidiosum"
"k__Bacillati","p__Mycoplasmatota","Unassigned","o__Mycoplasmoidales","f__Mycoplasmoidaceae","g__Mycoplasmoides","s__[Mycoplasma]_cavipharyngis"
"k__Bacillati","p__Mycoplasmatota","Unassigned","o__Mycoplasmoidales","f__Mycoplasmoidaceae","g__Mycoplasmoides","s__Mycoplasmoides_genitalium"
"k__Bacillati","p__Mycoplasmatota","Unassigned","o__Mycoplasmoidales","f__Mycoplasmoidaceae","g__Mycoplasmoides","s__Mycoplasmoides_pneumoniae"
"k__Bacillati","p__Mycoplasmatota","Unassigned","o__Mycoplasmoidales","f__Mycoplasmoidaceae","g__Mycoplasmoides","s__Mycoplasmoides_gallisepticum"
"k__Bacillati","p__Mycoplasmatota","Unassigned","o__Mycoplasmoidales","f__Mycoplasmoidaceae","g__Malacoplasma","s__Malacoplasma_penetrans"
"k__Bacillati","p__Mycoplasmatota","Unassigned","o__Mycoplasmoidales","f__Mycoplasmoidaceae","g__Malacoplasma","s__Malacoplasma_muris"
"k__Bacillati","p__Mycoplasmatota","Unassigned","o__Mycoplasmoidales","f__Mycoplasmoidaceae","g__Malacoplasma","s__Malacoplasma_iowae"
"k__Bacillati","p__Mycoplasmatota","Unassigned","o__Mycoplasmoidales","f__Mycoplasmoidaceae","g__Ureaplasma","s__Ureaplasma_urealyticum"
"k__Bacillati","p__Mycoplasmatota","Unassigned","o__Mycoplasmoidales","f__Mycoplasmoidaceae","g__Ureaplasma","s__Ureaplasma_parvum"
"k__Bacillati","p__Mycoplasmatota","Unassigned","o__Mycoplasmoidales","f__Mycoplasmoidaceae","g__Ureaplasma","s__Ureaplasma_diversum"
"k__Bacillati","p__Mycoplasmatota","Unassigned","o__Mycoplasmoidales","f__Metamycoplasmataceae","g__Mycoplasmopsis","s__Mycoplasmopsis_fermentans"
"k__Bacillati","p__Mycoplasmatota","Unassigned","o__Mycoplasmoidales","f__Metamycoplasmataceae","g__Mycoplasmopsis","s__Mycoplasmopsis_citelli"
"k__Bacillati","p__Mycoplasmatota","Unassigned","o__Mycoplasmoidales","f__Metamycoplasmataceae","g__Mycoplasmopsis","s__Mycoplasmopsis_edwardii"
"k__Bacillati","p__Mycoplasmatota","Unassigned","o__Mycoplasmoidales","f__Metamycoplasmataceae","g__Mycoplasmopsis","s__Mycoplasmopsis_caviae"
"k__Bacillati","p__Mycoplasmatota","Unassigned","o__Mycoplasmoidales","f__Metamycoplasmataceae","g__Mycoplasmopsis","s__Mycoplasmopsis_gallinacea"
"k__Bacillati","p__Mycoplasmatota","Unassigned","o__Mycoplasmoidales","f__Metamycoplasmataceae","g__Mycoplasmopsis","s__Mycoplasmopsis_adleri"
"k__Bacillati","p__Mycoplasmatota","Unassigned","o__Mycoplasmoidales","f__Metamycoplasmataceae","g__Mycoplasmopsis","s__Mycoplasmopsis_pulmonis"
"k__Bacillati","p__Mycoplasmatota","Unassigned","o__Mycoplasmoidales","f__Metamycoplasmataceae","g__Mycoplasmopsis","s__Mycoplasmopsis_columbinasalis"
"k__Bacillati","p__Mycoplasmatota","Unassigned","o__Mycoplasmoidales","f__Metamycoplasmataceae","g__Mycoplasmopsis","s__Mycoplasmopsis_canis"
"k__Bacillati","p__Mycoplasmatota","Unassigned","o__Mycoplasmoidales","f__Metamycoplasmataceae","g__Mycoplasmopsis","s__Mycoplasmopsis_anatis"
"k__Bacillati","p__Mycoplasmatota","Unassigned","o__Mycoplasmoidales","f__Metamycoplasmataceae","g__Mycoplasmopsis","s__Mycoplasmopsis_phocirhinis"
"k__Bacillati","p__Mycoplasmatota","Unassigned","o__Mycoplasmoidales","f__Metamycoplasmataceae","g__Mycoplasmopsis","s__Mycoplasmopsis_agassizii"
"k__Bacillati","p__Mycoplasmatota","Unassigned","o__Mycoplasmoidales","f__Metamycoplasmataceae","g__Mycoplasmopsis","s__Mycoplasmopsis_glycophila"
"k__Bacillati","p__Mycoplasmatota","Unassigned","o__Mycoplasmoidales","f__Metamycoplasmataceae","g__Mycoplasmopsis","s__Mycoplasmopsis_pullorum"
"k__Bacillati","p__Mycoplasmatota","Unassigned","o__Mycoplasmoidales","f__Metamycoplasmataceae","g__Mycoplasmopsis","s__Mycoplasmopsis_californica"
"k__Bacillati","p__Mycoplasmatota","Unassigned","o__Mycoplasmoidales","f__Metamycoplasmataceae","g__Mycoplasmopsis","s__Mycoplasmopsis_hyopharyngis"
"k__Bacillati","p__Mycoplasmatota","Unassigned","o__Mycoplasmoidales","f__Metamycoplasmataceae","g__Mycoplasmopsis","s__Mycoplasmopsis_cynos"
"k__Bacillati","p__Mycoplasmatota","Unassigned","o__Mycoplasmoidales","f__Metamycoplasmataceae","g__Mycoplasmopsis","s__Mycoplasmopsis_columboralis"
"k__Bacillati","p__Mycoplasmatota","Unassigned","o__Mycoplasmoidales","f__Metamycoplasmataceae","g__Mycoplasmopsis","s__Mycoplasmopsis_columbina"
"k__Bacillati","p__Mycoplasmatota","Unassigned","o__Mycoplasmoidales","f__Metamycoplasmataceae","g__Mycoplasmopsis","s__Mycoplasmopsis_meleagridis"
"k__Bacillati","p__Mycoplasmatota","Unassigned","o__Mycoplasmoidales","f__Metamycoplasmataceae","g__Mycoplasmopsis","s__Mycoplasmopsis_agalactiae"
"k__Bacillati","p__Mycoplasmatota","Unassigned","o__Mycoplasmoidales","f__Metamycoplasmataceae","g__Mycoplasmopsis","s__Mycoplasmopsis_bovigenitalium"
"k__Bacillati","p__Mycoplasmatota","Unassigned","o__Mycoplasmoidales","f__Metamycoplasmataceae","g__Mycoplasmopsis","s__Mycoplasmopsis_bovis"
"k__Bacillati","p__Mycoplasmatota","Unassigned","o__Mycoplasmoidales","f__Metamycoplasmataceae","g__Mycoplasmopsis","s__Mycoplasmopsis_arginini"
"k__Bacillati","p__Mycoplasmatota","Unassigned","o__Mycoplasmoidales","f__Metamycoplasmataceae","g__Mycoplasmopsis","s__Mycoplasmopsis_felis"
"k__Bacillati","p__Mycoplasmatota","Unassigned","o__Mycoplasmoidales","f__Metamycoplasmataceae","g__Mycoplasmopsis","s__Mycoplasmopsis_lipophila"
