Source	Target	Correlation	interaction
s__Candidatus_Poriferisocius_sp.	DRR480285__12620	0.407265270054381	correlation
s__Candidatus_Poriferisodalis_sp.	DRR480285__12620	0.451012444709468	correlation
s__Propionibacterium_freudenreichii	DRR480285__12620	0.325703526629193	correlation
s__Propionibacterium_acidifaciens	DRR480285__12620	0.294676268072279	correlation
s__Streptomyces_canus	DRR480285__12620	0.295157307343001	correlation
s__Streptomyces_venezuelae	DRR480285__12620	0.398869477256931	correlation
s__Actinomyces_sp._HMT_175	DRR480285__12620	0.0574693600557199	correlation
s__Actinomyces_sp._oral_taxon_169	DRR480285__12620	0.0742487201334892	correlation
s__Schaalia_turicensis	DRR480285__12620	0.259817617926511	correlation
s__Parascardovia_denticolens	DRR480285__12620	0.28204691266977	correlation
s__Bifidobacterium_lemurum	DRR480285__12620	0.26846416990461	correlation
s__Bifidobacterium_choerinum	DRR480285__12620	0.29011328509957	correlation
s__Bifidobacterium_subtile	DRR480285__12620	0.301666349163491	correlation
s__Bifidobacterium_eulemuris	DRR480285__12620	0.290059939886987	correlation
s__Bifidobacterium_animalis	DRR480285__12620	0.209497267485019	correlation
s__Bifidobacterium_sp._ESL0790	DRR480285__12620	0.279672074374694	correlation
s__Bifidobacterium_dentium	DRR480285__12620	0.187666634108512	correlation
s__Leptogranulimonas_caecicola	DRR480285__12620	0.367499513797665	correlation
s__Ndongobacter_massiliensis	DRR480285__12620	0.456692853566043	correlation
s__Peptoniphilus_equinus	DRR480285__12620	0.387033209006549	correlation
s__Aedoeadaptatus_ivorii	DRR480285__12620	0.359428103122122	correlation
s__Selenomonas_timonae	DRR480285__12620	0.370425503939525	correlation
s__Selenomonas_dianae	DRR480285__12620	0.46246625792348	correlation
s__Veillonella_orientalis	DRR480285__12620	-0.0740770903389983	correlation
s__Veillonella_dispar	DRR480285__12620	-0.100315848352019	correlation
s__Alicyclobacillus_acidocaldarius	DRR480285__12620	0.422564968459281	correlation
s__Tumebacillus_avium	DRR480285__12620	0.418119779110948	correlation
s__Gemella_sanguinis	DRR480285__12620	-0.000516162973862932	correlation
s__Thermobacillus_composti	DRR480285__12620	0.451645345244024	correlation
s__Cohnella_sp._WGS1546	DRR480285__12620	0.441444724351144	correlation
s__Cohnella_sp._LGH	DRR480285__12620	0.391871039417817	correlation
s__Cohnella_candidum	DRR480285__12620	0.411941725692428	correlation
s__Brevibacillus_composti	DRR480285__12620	0.322368182044884	correlation
s__Paenibacillus_dendritiformis	DRR480285__12620	0.33090735706694	correlation
s__Paenibacillus_sp._FSL_K6-1096	DRR480285__12620	0.315229752616451	correlation
s__Paenibacillus_albicereus	DRR480285__12620	0.341792013392865	correlation
s__Paenibacillus_beijingensis	DRR480285__12620	0.376539234096189	correlation
s__Paenibacillus_rhizovicinus	DRR480285__12620	0.289426937460013	correlation
s__Paenibacillus_lycopersici	DRR480285__12620	0.402293152652503	correlation
s__Paenibacillus_elgii	DRR480285__12620	0.396887513307859	correlation
s__Paenibacillus_konkukensis	DRR480285__12620	0.307074422466846	correlation
s__Paenibacillus_thiaminolyticus	DRR480285__12620	0.401174537189133	correlation
s__Paenibacillus_durus	DRR480285__12620	0.284522407478558	correlation
s__Paenibacillus_macerans	DRR480285__12620	0.337300309713858	correlation
s__Paenibacillus_sp._32O-W	DRR480285__12620	0.425665963425327	correlation
s__Paenibacillus_sp._RUD330	DRR480285__12620	0.381881957322892	correlation
s__Paenibacillus_sp._FSL_K6-1217	DRR480285__12620	0.287102943468691	correlation
s__Lacticaseibacillus_rhamnosus	DRR480285__12620	0.230740800874197	correlation
s__Streptococcus_sp._HSISS3	DRR480285__12620	-0.0190600837163785	correlation
s__Streptococcus_sp._FSL_W7-1342	DRR480285__12620	-0.0220575205537916	correlation
s__Streptococcus_mutans	DRR480285__12620	0.126245385718561	correlation
s__Streptococcus_vestibularis	DRR480285__12620	-0.0506839158793208	correlation
s__Streptococcus_rubneri	DRR480285__12620	-0.0191340968486678	correlation
s__Moorella_sp._Hama-1	DRR480285__12620	0.393825926035383	correlation
s__Christensenella_sp._MSJ-20	DRR480285__12620	0.443923512099706	correlation
s__Peptoclostridium_acidaminophilum	DRR480285__12620	0.310197334152384	correlation
s__Caldinitratiruptor_microaerophilus	DRR480285__12620	0.38163572922143	correlation
s__Desulfofundulus_kuznetsovii	DRR480285__12620	0.352344591841994	correlation
s__Desulforamulus_ruminis	DRR480285__12620	0.386717918554923	correlation
s__Candidatus_Formimonas_warabiya	DRR480285__12620	0.276697088850198	correlation
s__Dehalobacter_restrictus	DRR480285__12620	0.250773860277276	correlation
s__Butyricicoccus_sp._GAM44	DRR480285__12620	0.15768395137145	correlation
s__Caproiciproducens_sp._NJN-50	DRR480285__12620	0.293094970091284	correlation
s__Thermaerobacter_sp._PB12/4term	DRR480285__12620	0.387681333601028	correlation
s__Alkalibacter_rhizosphaerae	DRR480285__12620	0.371323557569391	correlation
s__Roseburia_faecis	DRR480285__12620	0.108170985757365	correlation
s__Archangium_violaceum	DRR480285__12620	0.412225844825149	correlation
s__Breznakiella_homolactica	DRR480285__12620	0.353991242168495	correlation
s__Treponema_brennaborense	DRR480285__12620	0.38357862366316	correlation
s__Treponema_saccharophilum	DRR480285__12620	0.414339159398837	correlation
s__Geotalea_uraniireducens	DRR480285__12620	0.411731166660772	correlation
s__Trichlorobacter_lovleyi	DRR480285__12620	0.27652995280262	correlation
s__Solidesulfovibrio_carbinoliphilus	DRR480285__12620	0.347753065051226	correlation
s__Oceanidesulfovibrio_marinus	DRR480285__12620	0.254970895245753	correlation
s__Megalodesulfovibrio_gigas	DRR480285__12620	0.342651215373478	correlation
s__Salidesulfovibrio_onnuriiensis	DRR480285__12620	0.332606784631536	correlation
s__Pseudodesulfovibrio_methanolicus	DRR480285__12620	0.241119610163994	correlation
s__Pseudodesulfovibrio_mercurii	DRR480285__12620	0.249783387621244	correlation
s__Pseudodesulfovibrio_tunisiensis	DRR480285__12620	0.252208532287363	correlation
s__Pseudodesulfovibrio_indicus	DRR480285__12620	0.210753630638794	correlation
s__Achromobacter_xylosoxidans	DRR480285__12620	0.323294225632827	correlation
s__Oxalobacter_aliiformigenes	DRR480285__12620	0.371032801431796	correlation
s__Ramlibacter_tataouinensis	DRR480285__12620	0.33898082712381	correlation
