Source	Target	Correlation	interaction
s__Candidatus_Poriferisocius_sp.	DRR480285__12620	0.380353793028134	correlation
s__Candidatus_Poriferisodalis_sp.	DRR480285__12620	0.371942433034535	correlation
s__Propionibacterium_freudenreichii	DRR480285__12620	0.324771936605896	correlation
s__Propionibacterium_acidifaciens	DRR480285__12620	0.196999329165634	correlation
s__Streptomyces_canus	DRR480285__12620	0.30575792362713	correlation
s__Streptomyces_venezuelae	DRR480285__12620	0.299657016875866	correlation
s__Actinomyces_sp._HMT_175	DRR480285__12620	0.0107079463163338	correlation
s__Actinomyces_sp._oral_taxon_169	DRR480285__12620	0.0468091336905659	correlation
s__Schaalia_turicensis	DRR480285__12620	0.163709632837116	correlation
s__Parascardovia_denticolens	DRR480285__12620	0.135172985092795	correlation
s__Bifidobacterium_lemurum	DRR480285__12620	0.240294146603845	correlation
s__Bifidobacterium_choerinum	DRR480285__12620	0.325889412403283	correlation
s__Bifidobacterium_subtile	DRR480285__12620	0.252705882574252	correlation
s__Bifidobacterium_eulemuris	DRR480285__12620	0.21630351413042	correlation
s__Bifidobacterium_animalis	DRR480285__12620	0.202895764567258	correlation
s__Bifidobacterium_sp._ESL0790	DRR480285__12620	0.292046839307243	correlation
s__Bifidobacterium_dentium	DRR480285__12620	0.0713498121694274	correlation
s__Leptogranulimonas_caecicola	DRR480285__12620	0.353048471531724	correlation
s__Ndongobacter_massiliensis	DRR480285__12620	0.392546821633232	correlation
s__Peptoniphilus_equinus	DRR480285__12620	0.315376437440112	correlation
s__Aedoeadaptatus_ivorii	DRR480285__12620	0.390503367103238	correlation
s__Selenomonas_timonae	DRR480285__12620	0.363857410598073	correlation
s__Selenomonas_dianae	DRR480285__12620	0.343013094778492	correlation
s__Veillonella_orientalis	DRR480285__12620	-0.0869516115322281	correlation
s__Veillonella_dispar	DRR480285__12620	-0.0889783858078063	correlation
s__Alicyclobacillus_acidocaldarius	DRR480285__12620	0.366905587280624	correlation
s__Tumebacillus_avium	DRR480285__12620	0.349017948496406	correlation
s__Gemella_sanguinis	DRR480285__12620	-0.0286907997262196	correlation
s__Thermobacillus_composti	DRR480285__12620	0.398441139120578	correlation
s__Cohnella_sp._WGS1546	DRR480285__12620	0.336299618122747	correlation
s__Cohnella_sp._LGH	DRR480285__12620	0.312153971703871	correlation
s__Cohnella_candidum	DRR480285__12620	0.352466474685315	correlation
s__Brevibacillus_composti	DRR480285__12620	0.28644368643896	correlation
s__Paenibacillus_dendritiformis	DRR480285__12620	0.28094820351878	correlation
s__Paenibacillus_sp._FSL_K6-1096	DRR480285__12620	0.225045806263231	correlation
s__Paenibacillus_albicereus	DRR480285__12620	0.344757258374239	correlation
s__Paenibacillus_beijingensis	DRR480285__12620	0.296295671870692	correlation
s__Paenibacillus_rhizovicinus	DRR480285__12620	0.259912547318079	correlation
s__Paenibacillus_lycopersici	DRR480285__12620	0.296546589423517	correlation
s__Paenibacillus_elgii	DRR480285__12620	0.307611948761423	correlation
s__Paenibacillus_konkukensis	DRR480285__12620	0.315258660653413	correlation
s__Paenibacillus_thiaminolyticus	DRR480285__12620	0.252501741302713	correlation
s__Paenibacillus_durus	DRR480285__12620	0.266194897922401	correlation
s__Paenibacillus_macerans	DRR480285__12620	0.329770158941916	correlation
s__Paenibacillus_sp._32O-W	DRR480285__12620	0.311977920331757	correlation
s__Paenibacillus_sp._RUD330	DRR480285__12620	0.350156579718213	correlation
s__Paenibacillus_sp._FSL_K6-1217	DRR480285__12620	0.266050904378596	correlation
s__Lacticaseibacillus_rhamnosus	DRR480285__12620	0.0449247631333738	correlation
s__Streptococcus_sp._HSISS3	DRR480285__12620	-0.12393283667076	correlation
s__Streptococcus_sp._FSL_W7-1342	DRR480285__12620	-0.101341747908923	correlation
s__Streptococcus_mutans	DRR480285__12620	0.0679716767549873	correlation
s__Streptococcus_vestibularis	DRR480285__12620	-0.0770741471578474	correlation
s__Streptococcus_rubneri	DRR480285__12620	-0.0937040638158436	correlation
s__Moorella_sp._Hama-1	DRR480285__12620	0.343556718416222	correlation
s__Christensenella_sp._MSJ-20	DRR480285__12620	0.444725718776285	correlation
s__Peptoclostridium_acidaminophilum	DRR480285__12620	0.323002559958636	correlation
