Source	Target	Correlation	interaction
s__Candidatus_Poriferisocius_sp.	DRR480285__12620	0.393809531541258	correlation
s__Candidatus_Poriferisodalis_sp.	DRR480285__12620	0.411477438872001	correlation
s__Propionibacterium_freudenreichii	DRR480285__12620	0.325237731617545	correlation
s__Propionibacterium_acidifaciens	DRR480285__12620	0.245837798618957	correlation
s__Streptomyces_canus	DRR480285__12620	0.300457615485066	correlation
s__Streptomyces_venezuelae	DRR480285__12620	0.349263247066398	correlation
s__Actinomyces_sp._HMT_175	DRR480285__12620	0.0340886531860269	correlation
s__Actinomyces_sp._oral_taxon_169	DRR480285__12620	0.0605289269120276	correlation
s__Schaalia_turicensis	DRR480285__12620	0.211763625381813	correlation
s__Parascardovia_denticolens	DRR480285__12620	0.208609948881283	correlation
s__Bifidobacterium_lemurum	DRR480285__12620	0.254379158254227	correlation
s__Bifidobacterium_choerinum	DRR480285__12620	0.308001348751426	correlation
s__Bifidobacterium_subtile	DRR480285__12620	0.277186115868872	correlation
s__Bifidobacterium_eulemuris	DRR480285__12620	0.253181727008703	correlation
s__Bifidobacterium_animalis	DRR480285__12620	0.206196516026138	correlation
s__Bifidobacterium_sp._ESL0790	DRR480285__12620	0.285859456840969	correlation
s__Bifidobacterium_dentium	DRR480285__12620	0.12950822313897	correlation
s__Leptogranulimonas_caecicola	DRR480285__12620	0.360273992664695	correlation
s__Ndongobacter_massiliensis	DRR480285__12620	0.424619837599638	correlation
s__Peptoniphilus_equinus	DRR480285__12620	0.35120482322333	correlation
s__Aedoeadaptatus_ivorii	DRR480285__12620	0.37496573511268	correlation
s__Selenomonas_timonae	DRR480285__12620	0.367141457268799	correlation
s__Selenomonas_dianae	DRR480285__12620	0.402739676350986	correlation
s__Veillonella_orientalis	DRR480285__12620	-0.0805143509356132	correlation
s__Veillonella_dispar	DRR480285__12620	-0.0946471170799126	correlation
s__Alicyclobacillus_acidocaldarius	DRR480285__12620	0.394735277869952	correlation
s__Tumebacillus_avium	DRR480285__12620	0.383568863803677	correlation
s__Gemella_sanguinis	DRR480285__12620	-0.0146034813500413	correlation
s__Thermobacillus_composti	DRR480285__12620	0.425043242182301	correlation
s__Cohnella_sp._WGS1546	DRR480285__12620	0.388872171236945	correlation
s__Cohnella_sp._LGH	DRR480285__12620	0.352012505560844	correlation
s__Cohnella_candidum	DRR480285__12620	0.382204100188871	correlation
s__Brevibacillus_composti	DRR480285__12620	0.304405934241922	correlation
s__Paenibacillus_dendritiformis	DRR480285__12620	0.30592778029286	correlation
s__Paenibacillus_sp._FSL_K6-1096	DRR480285__12620	0.270137779439841	correlation
s__Paenibacillus_albicereus	DRR480285__12620	0.343274635883552	correlation
s__Paenibacillus_beijingensis	DRR480285__12620	0.336417452983441	correlation
s__Paenibacillus_rhizovicinus	DRR480285__12620	0.274669742389046	correlation
s__Paenibacillus_lycopersici	DRR480285__12620	0.34941987103801	correlation
s__Paenibacillus_elgii	DRR480285__12620	0.352249731034641	correlation
