id	group	enrichment	Family
s__Candidatus_Poriferisocius_sp.	bacteria	PD	Candidatus_Hopanoidivoransaceae
s__Candidatus_Poriferisodalis_sp.	bacteria	PD	Candidatus_Poriferisodalaceae
s__Propionibacterium_freudenreichii	bacteria	PD	Propionibacteriaceae
s__Propionibacterium_acidifaciens	bacteria	PD	Propionibacteriaceae
s__Streptomyces_canus	bacteria	PD	Streptomycetaceae
s__Streptomyces_venezuelae	bacteria	PD	Streptomycetaceae
s__Actinomyces_sp._HMT_175	bacteria	PD	Actinomycetaceae
s__Actinomyces_sp._oral_taxon_169	bacteria	PD	Actinomycetaceae
s__Schaalia_turicensis	bacteria	PD	Actinomycetaceae
s__Parascardovia_denticolens	bacteria	PD	Bifidobacteriaceae
s__Bifidobacterium_lemurum	bacteria	PD	Bifidobacteriaceae
s__Bifidobacterium_choerinum	bacteria	PD	Bifidobacteriaceae
s__Bifidobacterium_subtile	bacteria	PD	Bifidobacteriaceae
s__Bifidobacterium_eulemuris	bacteria	PD	Bifidobacteriaceae
s__Bifidobacterium_animalis	bacteria	PD	Bifidobacteriaceae
s__Bifidobacterium_sp._ESL0790	bacteria	PD	Bifidobacteriaceae
s__Bifidobacterium_dentium	bacteria	PD	Bifidobacteriaceae
s__Leptogranulimonas_caecicola	bacteria	PD	Kribbibacteriaceae
s__Ndongobacter_massiliensis	bacteria	PD	Unassigned
s__Peptoniphilus_equinus	bacteria	PD	Peptoniphilaceae
s__Aedoeadaptatus_ivorii	bacteria	PD	Peptoniphilaceae
s__Selenomonas_timonae	bacteria	PD	Selenomonadaceae
s__Selenomonas_dianae	bacteria	PD	Selenomonadaceae
s__Veillonella_orientalis	bacteria	HC	Veillonellaceae
s__Veillonella_dispar	bacteria	HC	Veillonellaceae
s__Alicyclobacillus_acidocaldarius	bacteria	PD	Alicyclobacillaceae
s__Tumebacillus_avium	bacteria	PD	Alicyclobacillaceae
s__Gemella_sanguinis	bacteria	HC	Gemellaceae
s__Thermobacillus_composti	bacteria	PD	Paenibacillaceae
s__Cohnella_sp._WGS1546	bacteria	PD	Paenibacillaceae
s__Cohnella_sp._LGH	bacteria	PD	Paenibacillaceae
s__Cohnella_candidum	bacteria	PD	Paenibacillaceae
s__Brevibacillus_composti	bacteria	PD	Paenibacillaceae
s__Paenibacillus_dendritiformis	bacteria	PD	Paenibacillaceae
s__Paenibacillus_sp._FSL_K6-1096	bacteria	PD	Paenibacillaceae
s__Paenibacillus_albicereus	bacteria	PD	Paenibacillaceae
s__Paenibacillus_beijingensis	bacteria	PD	Paenibacillaceae
s__Paenibacillus_rhizovicinus	bacteria	PD	Paenibacillaceae
s__Paenibacillus_lycopersici	bacteria	PD	Paenibacillaceae
s__Paenibacillus_elgii	bacteria	PD	Paenibacillaceae
s__Paenibacillus_konkukensis	bacteria	PD	Paenibacillaceae
s__Paenibacillus_thiaminolyticus	bacteria	PD	Paenibacillaceae
s__Paenibacillus_durus	bacteria	PD	Paenibacillaceae
s__Paenibacillus_macerans	bacteria	PD	Paenibacillaceae
s__Paenibacillus_sp._32O-W	bacteria	PD	Paenibacillaceae
s__Paenibacillus_sp._RUD330	bacteria	PD	Paenibacillaceae
s__Paenibacillus_sp._FSL_K6-1217	bacteria	PD	Paenibacillaceae
s__Lacticaseibacillus_rhamnosus	bacteria	PD	Lactobacillaceae
s__Streptococcus_sp._HSISS3	bacteria	PD	Streptococcaceae
s__Streptococcus_sp._FSL_W7-1342	bacteria	PD	Streptococcaceae
s__Streptococcus_mutans	bacteria	PD	Streptococcaceae
s__Streptococcus_vestibularis	bacteria	PD	Streptococcaceae
s__Streptococcus_rubneri	bacteria	HC	Streptococcaceae
s__Moorella_sp._Hama-1	bacteria	PD	Moorellaceae
s__Christensenella_sp._MSJ-20	bacteria	PD	Christensenellaceae
s__Peptoclostridium_acidaminophilum	bacteria	PD	Peptoclostridiaceae
s__Caldinitratiruptor_microaerophilus	bacteria	PD	Symbiobacteriaceae
s__Desulfofundulus_kuznetsovii	bacteria	PD	Peptococcaceae
s__Desulforamulus_ruminis	bacteria	PD	Peptococcaceae
s__Candidatus_Formimonas_warabiya	bacteria	PD	Peptococcaceae
s__Dehalobacter_restrictus	bacteria	PD	Desulfitobacteriaceae
s__Butyricicoccus_sp._GAM44	bacteria	HC	Butyricicoccaceae
s__Caproiciproducens_sp._NJN-50	bacteria	PD	Acutalibacteraceae
s__Thermaerobacter_sp._PB12/4term	bacteria	PD	Clostridiales_Family_XVII._Incertae_Sedis
s__Alkalibacter_rhizosphaerae	bacteria	PD	Eubacteriaceae
s__Roseburia_faecis	bacteria	HC	Lachnospiraceae
s__Archangium_violaceum	bacteria	PD	Archangiaceae
s__Breznakiella_homolactica	bacteria	PD	Breznakiellaceae
s__Treponema_brennaborense	bacteria	PD	Treponemataceae
s__Treponema_saccharophilum	bacteria	PD	Treponemataceae
s__Geotalea_uraniireducens	bacteria	PD	Geobacteraceae
s__Trichlorobacter_lovleyi	bacteria	PD	Geobacteraceae
s__Solidesulfovibrio_carbinoliphilus	bacteria	PD	Desulfovibrionaceae
s__Oceanidesulfovibrio_marinus	bacteria	PD	Desulfovibrionaceae
s__Megalodesulfovibrio_gigas	bacteria	PD	Desulfovibrionaceae
s__Salidesulfovibrio_onnuriiensis	bacteria	PD	Desulfovibrionaceae
s__Pseudodesulfovibrio_methanolicus	bacteria	PD	Desulfovibrionaceae
s__Pseudodesulfovibrio_mercurii	bacteria	PD	Desulfovibrionaceae
s__Pseudodesulfovibrio_tunisiensis	bacteria	PD	Desulfovibrionaceae
s__Pseudodesulfovibrio_indicus	bacteria	PD	Desulfovibrionaceae
s__Achromobacter_xylosoxidans	bacteria	PD	Alcaligenaceae
s__Oxalobacter_aliiformigenes	bacteria	PD	Oxalobacteraceae
s__Ramlibacter_tataouinensis	bacteria	PD	Comamonadaceae
s__Cupriavidus_taiwanensis	bacteria	PD	Burkholderiaceae
s__Cupriavidus_pauculus	bacteria	PD	Burkholderiaceae
s__Burkholderia_cepacia	bacteria	PD	Burkholderiaceae
s__Roseibium_sp.	bacteria	PD	Stappiaceae
s__Sinorhizobium_fredii	bacteria	PD	Rhizobiaceae
s__Pseudomonas_chlororaphis	bacteria	PD	Pseudomonadaceae
s__Cedecea_neteri	bacteria	PD	Enterobacteriaceae
s__Enterobacter_cloacae	bacteria	PD	Enterobacteriaceae
s__Porphyromonas_asaccharolytica	bacteria	PD	Porphyromonadaceae
s__Segatella_oris	bacteria	HC	Prevotellaceae
s__Prevotella_fusca	bacteria	HC	Prevotellaceae
s__Prevotella_sp._E15-22	bacteria	HC	Prevotellaceae
s__Alistipes_onderdonkii	bacteria	PD	Rikenellaceae
s__Candidatus_Nanosynbacter_sp._HMT-352	bacteria	HC	Candidatus_Nanosynbacteraceae
s__Methanobrevibacter_smithii	bacteria	PD	Methanobacteriaceae
DRR480285__12620	virus	PD	Siphoviridae
DRR480305__15088	virus	HC	Myoviridae
DRR480324__6919	virus	HC	Myoviridae
DRR480343__10700	virus	PD	Siphoviridae
DRR480348__22505	virus	PD	Siphoviridae
DRR480358__1802	virus	PD	Siphoviridae
DRR480373__5189	virus	HC	Unassigned
DRR480381__15257	virus	PD	Siphoviridae
DRR480392__19428	virus	HC	Siphoviridae
DRR480395__17999	virus	PD	Myoviridae
DRR480402__2862	virus	PD	Siphoviridae
DRR480406__3809	virus	PD	Siphoviridae
DRR480415__20557	virus	PD	Siphoviridae
DRR480433__15862	virus	PD	Siphoviridae
DRR480439__6414	virus	PD	Siphoviridae
ERR10818366__21754	virus	PD	Myoviridae
ERR10818516__36889	virus	HC	Siphoviridae
ERR10818576__4656	virus	PD	Siphoviridae
ERR10818884__20165	virus	HC	Unassigned
ERR10818967__31990	virus	PD	Siphoviridae
ERR10819069__1342	virus	HC	Siphoviridae
ERR10819109__25297	virus	HC	Siphoviridae
ERR10820466__49891	virus	PD	Siphoviridae
ERR10820685__34953	virus	PD	Siphoviridae
ERR10820685__37860	virus	PD	Siphoviridae
ERR10820976__33557	virus	HC	Siphoviridae
ERR10820979__23436	virus	PD	Siphoviridae
ERR10820999__10114	virus	HC	Siphoviridae
ERR10821059__52036	virus	HC	Siphoviridae
ERR10821065__54304	virus	HC	Siphoviridae
ERR10821073__11285	virus	HC	Myoviridae
ERR10821089__4656	virus	PD	Siphoviridae
ERR10821232__23013	virus	HC	Myoviridae
ERR10821635__9421	virus	PD	Unassigned
ERR10821926__73041	virus	HC	Myoviridae
ERR10822056__2125	virus	HC	Myoviridae
ERR10822063__26695	virus	PD	Siphoviridae
ERR10822063__4125	virus	HC	Unassigned
ERR10822770__12888	virus	HC	Siphoviridae
ERR10822818__10883	virus	PD	Podoviridae
ERR10823035__9469	virus	PD	Siphoviridae
ERR10823067__681	virus	PD	Siphoviridae
ERR10823074__28757	virus	PD	Siphoviridae
ERR10823074__42156	virus	HC	Siphoviridae
ERR10823092__39906	virus	PD	Myoviridae
ERR10823138__29108	virus	PD	Siphoviridae
ERR10824179__12825	virus	PD	Siphoviridae
ERR10824179__27102	virus	HC	Unassigned
ERR10824345__29078	virus	PD	Siphoviridae
ERR10825147__4149	virus	PD	Siphoviridae
ERR10825151__11384	virus	HC	Myoviridae
ERR10825151__20873	virus	PD	Siphoviridae
ERR10825153__22217	virus	PD	Siphoviridae
ERR10825153__40014	virus	PD	Siphoviridae
ERR10825155__31916	virus	PD	Siphoviridae
ERR10825155__47891	virus	HC	Myoviridae
ERR10825182__36842	virus	HC	Siphoviridae
ERR10825182__6121	virus	PD	Siphoviridae
ERR10825182__8792	virus	PD	Siphoviridae
ERR10825183__9871	virus	HC	Myoviridae
ERR10825282__1514	virus	HC	Unassigned
ERR10825386__3796	virus	PD	Siphoviridae
