Source	Target	Correlation_CL	Correlation_PD	Avg_Correlation
s__Candidatus_Poriferisocius_sp.	DRR480285__12620	0.407265270054381	0.380353793028134	0.393809531541258
s__Candidatus_Poriferisodalis_sp.	DRR480285__12620	0.451012444709468	0.371942433034535	0.411477438872001
s__Propionibacterium_freudenreichii	DRR480285__12620	0.325703526629193	0.324771936605896	0.325237731617545
s__Propionibacterium_acidifaciens	DRR480285__12620	0.294676268072279	0.196999329165634	0.245837798618957
s__Streptomyces_canus	DRR480285__12620	0.295157307343001	0.30575792362713	0.300457615485066
s__Streptomyces_venezuelae	DRR480285__12620	0.398869477256931	0.299657016875866	0.349263247066398
s__Actinomyces_sp._HMT_175	DRR480285__12620	0.0574693600557199	0.0107079463163338	0.0340886531860269
s__Actinomyces_sp._oral_taxon_169	DRR480285__12620	0.0742487201334892	0.0468091336905659	0.0605289269120276
s__Schaalia_turicensis	DRR480285__12620	0.259817617926511	0.163709632837116	0.211763625381813
s__Parascardovia_denticolens	DRR480285__12620	0.28204691266977	0.135172985092795	0.208609948881283
s__Bifidobacterium_lemurum	DRR480285__12620	0.26846416990461	0.240294146603845	0.254379158254227
s__Bifidobacterium_choerinum	DRR480285__12620	0.29011328509957	0.325889412403283	0.308001348751426
s__Bifidobacterium_subtile	DRR480285__12620	0.301666349163491	0.252705882574252	0.277186115868872
s__Bifidobacterium_eulemuris	DRR480285__12620	0.290059939886987	0.21630351413042	0.253181727008703
s__Bifidobacterium_animalis	DRR480285__12620	0.209497267485019	0.202895764567258	0.206196516026138
s__Bifidobacterium_sp._ESL0790	DRR480285__12620	0.279672074374694	0.292046839307243	0.285859456840969
s__Bifidobacterium_dentium	DRR480285__12620	0.187666634108512	0.0713498121694274	0.12950822313897
s__Leptogranulimonas_caecicola	DRR480285__12620	0.367499513797665	0.353048471531724	0.360273992664695
s__Ndongobacter_massiliensis	DRR480285__12620	0.456692853566043	0.392546821633232	0.424619837599638
s__Peptoniphilus_equinus	DRR480285__12620	0.387033209006549	0.315376437440112	0.35120482322333
s__Aedoeadaptatus_ivorii	DRR480285__12620	0.359428103122122	0.390503367103238	0.37496573511268
s__Selenomonas_timonae	DRR480285__12620	0.370425503939525	0.363857410598073	0.367141457268799
s__Selenomonas_dianae	DRR480285__12620	0.46246625792348	0.343013094778492	0.402739676350986
s__Veillonella_orientalis	DRR480285__12620	-0.0740770903389983	-0.0869516115322281	-0.0805143509356132
s__Veillonella_dispar	DRR480285__12620	-0.100315848352019	-0.0889783858078063	-0.0946471170799126
s__Alicyclobacillus_acidocaldarius	DRR480285__12620	0.422564968459281	0.366905587280624	0.394735277869952
s__Tumebacillus_avium	DRR480285__12620	0.418119779110948	0.349017948496406	0.383568863803677
s__Gemella_sanguinis	DRR480285__12620	-0.000516162973862932	-0.0286907997262196	-0.0146034813500413
s__Thermobacillus_composti	DRR480285__12620	0.451645345244024	0.398441139120578	0.425043242182301
s__Cohnella_sp._WGS1546	DRR480285__12620	0.441444724351144	0.336299618122747	0.388872171236945
s__Cohnella_sp._LGH	DRR480285__12620	0.391871039417817	0.312153971703871	0.352012505560844
s__Cohnella_candidum	DRR480285__12620	0.411941725692428	0.352466474685315	0.382204100188871
s__Brevibacillus_composti	DRR480285__12620	0.322368182044884	0.28644368643896	0.304405934241922
s__Paenibacillus_dendritiformis	DRR480285__12620	0.33090735706694	0.28094820351878	0.30592778029286
s__Paenibacillus_sp._FSL_K6-1096	DRR480285__12620	0.315229752616451	0.225045806263231	0.270137779439841
s__Paenibacillus_albicereus	DRR480285__12620	0.341792013392865	0.344757258374239	0.343274635883552
s__Paenibacillus_beijingensis	DRR480285__12620	0.376539234096189	0.296295671870692	0.336417452983441
s__Paenibacillus_rhizovicinus	DRR480285__12620	0.289426937460013	0.259912547318079	0.274669742389046
s__Paenibacillus_lycopersici	DRR480285__12620	0.402293152652503	0.296546589423517	0.34941987103801
s__Paenibacillus_elgii	DRR480285__12620	0.396887513307859	0.307611948761423	0.352249731034641
s__Paenibacillus_konkukensis	DRR480285__12620	0.307074422466846	0.315258660653413	0.31116654156013
s__Paenibacillus_thiaminolyticus	DRR480285__12620	0.401174537189133	0.252501741302713	0.326838139245923
s__Paenibacillus_durus	DRR480285__12620	0.284522407478558	0.266194897922401	0.275358652700479
s__Paenibacillus_macerans	DRR480285__12620	0.337300309713858	0.329770158941916	0.333535234327887
s__Paenibacillus_sp._32O-W	DRR480285__12620	0.425665963425327	0.311977920331757	0.368821941878542
s__Paenibacillus_sp._RUD330	DRR480285__12620	0.381881957322892	0.350156579718213	0.366019268520553
s__Paenibacillus_sp._FSL_K6-1217	DRR480285__12620	0.287102943468691	0.266050904378596	0.276576923923643
s__Lacticaseibacillus_rhamnosus	DRR480285__12620	0.230740800874197	0.0449247631333738	0.137832782003785
s__Streptococcus_sp._HSISS3	DRR480285__12620	-0.0190600837163785	-0.12393283667076	-0.0714964601935693
s__Streptococcus_sp._FSL_W7-1342	DRR480285__12620	-0.0220575205537916	-0.101341747908923	-0.0616996342313573
s__Streptococcus_mutans	DRR480285__12620	0.126245385718561	0.0679716767549873	0.0971085312367739
s__Streptococcus_vestibularis	DRR480285__12620	-0.0506839158793208	-0.0770741471578474	-0.0638790315185841
s__Streptococcus_rubneri	DRR480285__12620	-0.0191340968486678	-0.0937040638158436	-0.0564190803322557
s__Moorella_sp._Hama-1	DRR480285__12620	0.393825926035383	0.343556718416222	0.368691322225803
s__Christensenella_sp._MSJ-20	DRR480285__12620	0.443923512099706	0.444725718776285	0.444324615437995
s__Peptoclostridium_acidaminophilum	DRR480285__12620	0.310197334152384	0.323002559958636	0.31659994705551
s__Caldinitratiruptor_microaerophilus	DRR480285__12620	0.38163572922143	0.377719324073281	0.379677526647355
s__Desulfofundulus_kuznetsovii	DRR480285__12620	0.352344591841994	0.293710649451304	0.323027620646649
s__Desulforamulus_ruminis	DRR480285__12620	0.386717918554923	0.307350001023544	0.347033959789233
s__Candidatus_Formimonas_warabiya	DRR480285__12620	0.276697088850198	0.263462397694274	0.270079743272236
s__Dehalobacter_restrictus	DRR480285__12620	0.250773860277276	0.259852900490602	0.255313380383939
s__Butyricicoccus_sp._GAM44	DRR480285__12620	0.15768395137145	0.0818254665123238	0.119754708941887
s__Caproiciproducens_sp._NJN-50	DRR480285__12620	0.293094970091284	0.266193891484575	0.27964443078793
s__Thermaerobacter_sp._PB12/4term	DRR480285__12620	0.387681333601028	0.379195320320134	0.383438326960581
s__Alkalibacter_rhizosphaerae	DRR480285__12620	0.371323557569391	0.341386386298822	0.356354971934107
s__Roseburia_faecis	DRR480285__12620	0.108170985757365	0.101876309147261	0.105023647452313
s__Archangium_violaceum	DRR480285__12620	0.412225844825149	0.367769284710764	0.389997564767957
s__Breznakiella_homolactica	DRR480285__12620	0.353991242168495	0.317819269702223	0.335905255935359
s__Treponema_brennaborense	DRR480285__12620	0.38357862366316	0.316733193250776	0.350155908456968
s__Treponema_saccharophilum	DRR480285__12620	0.414339159398837	0.354004957135296	0.384172058267066
s__Geotalea_uraniireducens	DRR480285__12620	0.411731166660772	0.340572835722513	0.376152001191642
s__Trichlorobacter_lovleyi	DRR480285__12620	0.27652995280262	0.18374470852255	0.230137330662585
s__Solidesulfovibrio_carbinoliphilus	DRR480285__12620	0.347753065051226	0.255880087962543	0.301816576506884
s__Oceanidesulfovibrio_marinus	DRR480285__12620	0.254970895245753	0.269762630701667	0.26236676297371
s__Megalodesulfovibrio_gigas	DRR480285__12620	0.342651215373478	0.227851124582227	0.285251169977853
s__Salidesulfovibrio_onnuriiensis	DRR480285__12620	0.332606784631536	0.257589124673879	0.295097954652708
s__Pseudodesulfovibrio_methanolicus	DRR480285__12620	0.241119610163994	0.231972388515349	0.236545999339671
s__Pseudodesulfovibrio_mercurii	DRR480285__12620	0.249783387621244	0.223083323253152	0.236433355437198
s__Pseudodesulfovibrio_tunisiensis	DRR480285__12620	0.252208532287363	0.179223313126006	0.215715922706685
s__Pseudodesulfovibrio_indicus	DRR480285__12620	0.210753630638794	0.21708847390783	0.213921052273312
s__Achromobacter_xylosoxidans	DRR480285__12620	0.323294225632827	0.318116787395822	0.320705506514325
s__Oxalobacter_aliiformigenes	DRR480285__12620	0.371032801431796	0.293846291795863	0.33243954661383
s__Ramlibacter_tataouinensis	DRR480285__12620	0.33898082712381	0.319747683685878	0.329364255404844
