"Kingdom","Phylum","Class","Order","Family","Sequence_ID"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Unassigned","f__Aliceevansviridae","SRR10983022__34605"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Unassigned","f__Aliceevansviridae","SRR19064350__4946"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Unassigned","f__Aliceevansviridae","SRR19064333__9311"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Unassigned","f__Aliceevansviridae","ERR10820466__25399"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Unassigned","f__Aliceevansviridae","SRR19064347__7784"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Unassigned","f__Aliceevansviridae","SRR19064387__19112"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Unassigned","f__Aliceevansviridae","SRR19064426__9208"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Unassigned","f__Aliceevansviridae","SRR19064541__10850"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Unassigned","f__Aliceevansviridae","SRR19064598__12013"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Unassigned","f__Aliceevansviridae","SRR19064478__32787"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Unassigned","f__Aliceevansviridae","SRR19064402__34153"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Unassigned","f__Aliceevansviridae","SRR19064488__35791"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Unassigned","f__Aliceevansviridae","SRR19064711__18278"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Unassigned","f__Aliceevansviridae","SRR19064900__14472"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Unassigned","f__Aliceevansviridae","SRR19064541__733"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Unassigned","f__Aliceevansviridae","SRR19064350__8629"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Unassigned","f__Aliceevansviridae","SRR19065011__10548"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Unassigned","f__Aliceevansviridae","SRR19064415__23323"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Unassigned","f__Aliceevansviridae","SRR19064863__14111"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Unassigned","f__Aliceevansviridae","SRR19064424__9078"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Unassigned","f__Aliceevansviridae","SRR19064900__42857"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Unassigned","f__Aliceevansviridae","SRR19064957__10430"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Unassigned","f__Aliceevansviridae","SRR19064476__19157"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Unassigned","f__Aliceevansviridae","SRR19064432__807"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Unassigned","f__Aliceevansviridae","SRR19065040__10026"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Unassigned","f__Aliceevansviridae","SRR19064552__16486"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Unassigned","f__Aliceevansviridae","DRR480314__1943"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Unassigned","f__Aliceevansviridae","SRR19064491__19978"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Unassigned","f__Aliceevansviridae","SRR19065029__24925"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Unassigned","f__Aliceevansviridae","SRR19064436__24979"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Unassigned","f__Aliceevansviridae","DRR480297__16965"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Unassigned","f__Aliceevansviridae","SRR19064845__11347"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Unassigned","f__Aliceevansviridae","SRR19064379__20040"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Unassigned","f__Aliceevansviridae","DRR480296__29595"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Unassigned","f__Aliceevansviridae","SRR19064488__44792"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Unassigned","f__Aliceevansviridae","SRR19064519__21650"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Unassigned","f__Aliceevansviridae","SRR19064339__18160"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Unassigned","f__Autographiviridae","SRR10983077__20969"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Unassigned","f__Autographiviridae","SRR10403528__27088"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Unassigned","f__Autographiviridae","SRR10403554__25843"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Unassigned","f__Autographiviridae","DRR480415__13381"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Unassigned","f__Autographiviridae","SRR19064644__24901"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Unassigned","f__Autographiviridae","DRR480355__22358"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Unassigned","f__Autographiviridae","SRR10403554__3483"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Unassigned","f__Autographiviridae","SRR10983036__6520"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Unassigned","f__Autographiviridae","SRR10983076__26363"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Unassigned","f__Autographiviridae","SRR10403544__54508"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Unassigned","f__Autographiviridae","DRR480328__3618"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Unassigned","f__Autographiviridae","SRR19064972__39235"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Unassigned","f__Autographiviridae","SRR19064890__49958"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Unassigned","f__Autographiviridae","SRR19065027__32881"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Unassigned","f__Autographiviridae","SRR10403527__20702"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Unassigned","f__Autographiviridae","SRR10983019__62130"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Unassigned","f__Autographiviridae","SRR19065015__27631"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Unassigned","f__Autographiviridae","SRR19064361__31839"
"k__Shotokuvirae","p__Cressnaviricota","c__Arfiviraetes","o__Cirlivirales","f__Circoviridae","SRR19064733__637"
"k__Shotokuvirae","p__Cressnaviricota","c__Arfiviraetes","o__Cirlivirales","f__Circoviridae","SRR19064627__42893"
"k__Shotokuvirae","p__Cressnaviricota","c__Arfiviraetes","o__Cirlivirales","f__Circoviridae","SRR19064671__72399"
"k__Shotokuvirae","p__Cressnaviricota","c__Arfiviraetes","o__Cirlivirales","f__Circoviridae","ERR10819109__59277"
"k__Shotokuvirae","p__Cressnaviricota","c__Arfiviraetes","o__Cirlivirales","f__Circoviridae","SRR19064356__80561"
"k__Shotokuvirae","p__Cressnaviricota","c__Arfiviraetes","o__Cirlivirales","f__Circoviridae","SRR10403544__84047"
"k__Shotokuvirae","p__Cressnaviricota","c__Arfiviraetes","o__Cirlivirales","f__Circoviridae","ERR10818583__59196"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Crevaviridae","SRR10983014__92409"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Crevaviridae","ERR10825147__16682"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Crevaviridae","SRR10983013__57441"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Crevaviridae","ERR10820698__81130"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Crevaviridae","DRR480361__18294"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Crevaviridae","ERR10818779__20165"
