vOTU,p.value,adj.p.value,median_PD,median_CL,fold_change,direction,log2_fold_change,Family,Protein,KO,p,pathway
DRR480284__18043,0.000695090184580631,0.00593162385044152,0,0,1,Enriched_in_HC,0,Unassigned,DRR480284__18043_55,K03654,5.9e-218,ATP-dependent DNA helicase RecQ [EC:5.6.2.4]
DRR480284__18043,0.000695090184580631,0.00593162385044152,0,0,1,Enriched_in_HC,0,Unassigned,DRR480284__18043_49,K04095,6.6e-34,"cell filamentation protein, protein adenylyltransferase [EC:2.7.7.108]"
DRR480284__18043,0.000695090184580631,0.00593162385044152,0,0,1,Enriched_in_HC,0,Unassigned,DRR480284__18043_62,K19353,4.2e-143,heptose-I-phosphate ethanolaminephosphotransferase [EC:2.7.8.-]
DRR480284__18043,0.000695090184580631,0.00593162385044152,0,0,1,Enriched_in_HC,0,Unassigned,DRR480284__18043_59,K09774,1.2e-17,lipopolysaccharide export system protein LptA
DRR480284__18043,0.000695090184580631,0.00593162385044152,0,0,1,Enriched_in_HC,0,Unassigned,DRR480284__18043_56,K00088,1.2e-201,IMP dehydrogenase [EC:1.1.1.205]
DRR480284__18043,0.000695090184580631,0.00593162385044152,0,0,1,Enriched_in_HC,0,Unassigned,DRR480284__18043_60,K03572,3.3e-179,DNA mismatch repair protein MutL
DRR480284__18043,0.000695090184580631,0.00593162385044152,0,0,1,Enriched_in_HC,0,Unassigned,DRR480284__18043_53,K01358,2.6e-88,"ATP-dependent Clp protease, protease subunit [EC:3.4.21.92]"
DRR480284__18043,0.000695090184580631,0.00593162385044152,0,0,1,Enriched_in_HC,0,Unassigned,DRR480284__18043_54,K03544,6.3e-184,ATP-dependent Clp protease ATP-binding subunit ClpX
DRR480284__18043,0.000695090184580631,0.00593162385044152,0,0,1,Enriched_in_HC,0,Unassigned,DRR480284__18043_51,K03088,1.4e-42,"RNA polymerase sigma-70 factor, ECF subfamily"
DRR480284__18043,0.000695090184580631,0.00593162385044152,0,0,1,Enriched_in_HC,0,Unassigned,DRR480284__18043_58,K03771,5.4e-70,peptidyl-prolyl cis-trans isomerase SurA [EC:5.2.1.8]
DRR480284__18043,0.000695090184580631,0.00593162385044152,0,0,1,Enriched_in_HC,0,Unassigned,DRR480284__18043_65,K14136,1.4e-101,decaprenyl-phosphate phosphoribosyltransferase [EC:2.4.2.45]
DRR480284__18043,0.000695090184580631,0.00593162385044152,0,0,1,Enriched_in_HC,0,Unassigned,DRR480284__18043_39,K01358,3.7e-19,"ATP-dependent Clp protease, protease subunit [EC:3.4.21.92]"
DRR480284__18043,0.000695090184580631,0.00593162385044152,0,0,1,Enriched_in_HC,0,Unassigned,DRR480284__18043_46,K02316,4e-108,DNA primase [EC:2.7.7.101]
